author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,helpful_votes,total_review,visibility_status,ranking
wildnoutcycles,/gp/profile/amzn1.account.AFQKZXWBVRMFI2PQQXNWGVFX5NRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 26, 2017",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,5.0 out of 5 stars,Fun,Five Stars,Verified Purchase,21 people found this helpful,,31,26,Public,83106899
ZIPPER BOOKS,/gp/profile/amzn1.account.AGJZPLSSUKDD5MAXLAIVAVMC6DNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 30, 2018",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,5.0 out of 5 stars,Excellent game for 5 yr old grandson.,Five Stars,Verified Purchase,33 people found this helpful,,348,196,Public,45770
Oliver Thompson,/gp/profile/amzn1.account.AFRWU6MKUE7RPAXKLXZZPDORDIJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2020",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,5.0 out of 5 stars,My son loves this show. This game was fun for him to play. He is 2. He figured out how to play by himself.,Great for toddlers,Verified Purchase,7 people found this helpful,,7,4,Public,83043849
Michelle candelario,/gp/profile/amzn1.account.AERNSW3QBMTA5MWVKJENXZ6SR6DA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 18, 2018",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,5.0 out of 5 stars,Good,Good,Verified Purchase,9 people found this helpful,,750,169,Public,83636820
Terri,/gp/profile/amzn1.account.AHQP3SNC7Q4XNTITELFEXXD3OV5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 5, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,5.0 out of 5 stars,this is fun and easy. playing it with a 3yr old and he does really well with the free version.,great for 3yr olds,Verified Purchase,8 people found this helpful,,83,133,Public,4432239
Vivian G,/gp/profile/amzn1.account.AGAQ24V2TR7ME4PARUY4GX6IEHTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 6, 2016",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,5.0 out of 5 stars,Bought for my granddaughter who loves this show! Watches all the time.,Five Stars,Verified Purchase,22 people found this helpful,,42,51,Public,82741830
Amazon Customer,/gp/profile/amzn1.account.AGGINQO6I2IGEIQIOWH2FM6G7ESQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 7, 2017",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,5.0 out of 5 stars,Our kids Love PJ Masks.  Good show for them!,Five Stars,Verified Purchase,17 people found this helpful,,37,32,Public,83748824
Tim,/gp/profile/amzn1.account.AEL3A75NQAMBIPA3RILLENEWE6LA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 15, 2020",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,5.0 out of 5 stars,The kids play this game pretty often,Kids favorite series,Verified Purchase,2 people found this helpful,,86,57,Public,83799273
Staycee,/gp/profile/amzn1.account.AHRZRRXWVPC4FB6ZSKL5PU7KTCBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 3, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,1.0 out of 5 stars,Can't access the download,Cant access,Verified Purchase,9 people found this helpful,,42,26,Public,82681092
Melissa,/gp/profile/amzn1.account.AFJ46D5QGGN4UJA6M6DMH2Y6W4XA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 27, 2017",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,5.0 out of 5 stars,Great quality!!!!,Five Stars,Verified Purchase,22 people found this helpful,,24,2,Public,82514496
ricardo,/gp/profile/amzn1.account.AEMI5MNFTV6FR22L67HI24LMHJ2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 26, 2017",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,5.0 out of 5 stars,Ok app,Five Stars,Verified Purchase,25 people found this helpful,,53,37,Public,4145190
Amazon Customer,/gp/profile/amzn1.account.AGDGBATZ6NOGJI7T6L5UYVBZEHPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 19, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,1.0 out of 5 stars,Okay,Ok,Verified Purchase,14 people found this helpful,,68,155,Public,83033352
Ole Sarge,/gp/profile/amzn1.account.AHSM6E7BHJWFHB3TEQLW5576EFXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 15, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,4.0 out of 5 stars,Its a game,Its a game,Verified Purchase,2 people found this helpful,,80,278,Public,83286630
Fitzpatrick,/gp/profile/amzn1.account.AFFJA2XYTEKUDQN4QXVCYC2RWA5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 14, 2021",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,5.0 out of 5 stars,My 5 year old daughter loves this game.,Love,Verified Purchase,20 people found this helpful,,22,48,Public,83499815
NinaSTL,/gp/profile/amzn1.account.AEXFWNU7A4OGPRZVAEB2EFIXSP3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 7, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,5.0 out of 5 stars,If they like PJ masks the love this one.,My three-year-old grandson loves it,Verified Purchase,5 people found this helpful,,9,28,Public,83047761
Sandra Beekman,/gp/profile/amzn1.account.AG2VQNOIYZCB7MEENNYPH4X7ECYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 17, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,5.0 out of 5 stars,Fun,Fun,Verified Purchase,27 people found this helpful,,246,65,Public,83168783
Amazon Customer,/gp/profile/amzn1.account.AEXT22QQCL2OCD5XC4O7F7QQL6KA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 5, 2021",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,5.0 out of 5 stars,Good,Good,Verified Purchase,5 people found this helpful,,32,155,Public,83064315
Mary Agnew,/gp/profile/amzn1.account.AE6FJPIJJ7QTWS76UTENSGAJH6HQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 24, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,4.0 out of 5 stars,Have never seen,Have never seen,Verified Purchase,10 people found this helpful,,49,46,Public,83417424
AW4,/gp/profile/amzn1.account.AFPTTIFWQO5UFVC72RCDOSLBO4MQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 19, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,1.0 out of 5 stars,Sucks. Not a good kids game. Wants money.,Not great.,Verified Purchase,5 people found this helpful,,94,39,Public,83645687
Melissa,/gp/profile/amzn1.account.AHQEPCXIVACWHDW5IFT73FKKSZ2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 13, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,4.0 out of 5 stars,"3 year old loves it. Simple enough for a 3 year old, but hard enough to make it challenging.",Toddler fun,Verified Purchase,14 people found this helpful,,184,136,Public,82943664
RogueDeadGuy777,/gp/profile/amzn1.account.AFJUNEG3WOGYSE7JVKEY5XYYMNJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 24, 2016",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,4.0 out of 5 stars,Our daughter is crazy about this game.  Don't waste your time trying it if you have a child four to eight years old (roughly).  Kids love this!,Don't waste your time trying it if you have a child ...,Verified Purchase,27 people found this helpful,,126,101,Public,1251126
Amazon Customer,/gp/profile/amzn1.account.AGKINAIJYSD62FOQ5VV6N5HAUFHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 9, 2016",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,5.0 out of 5 stars,I had to pull away from the game MYSELF and finally let my Son play!!!,Five Stars,Verified Purchase,21 people found this helpful,,21,3,Public,82609325
A_Hall,/gp/profile/amzn1.account.AGBRLZIJ66BYCHDS5GHFWIA2UK4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 16, 2018",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,4.0 out of 5 stars,Great game for young PJ Masks fans.,5 year old loves this game,Verified Purchase,27 people found this helpful,,69,112,Public,744085
MR,/gp/profile/amzn1.account.AGH5S44JHO6GCK2LBJ3TLZ47XR6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 3, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,4.0 out of 5 stars,"My 5 and 3 year old love this game. It's not educational, but it makes for a great incentive for them to learn before I let them play",Kids love PJ mask,Verified Purchase,8 people found this helpful,,24,24,Public,1808508
Kameron A.,/gp/profile/amzn1.account.AFXALS7NSE2KVRKPMKTIO5EPISYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 6, 2020",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,4.0 out of 5 stars,Kids love it,Pj mask,Verified Purchase,10 people found this helpful,,162,154,Public,83805720
Brianna kirchman,/gp/profile/amzn1.account.AFKOL3AKJCJX7DOF4FXQB4J6DR6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 1, 2017",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,4.0 out of 5 stars,Great and challenging,Four Stars,Verified Purchase,19 people found this helpful,,30,17,Public,83125213
kela,/gp/profile/amzn1.account.AFR6YD6XMDRFYVUEDJK435ZR4EIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 28, 2017",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,5.0 out of 5 stars,Toddler approved,Great game,Verified Purchase,18 people found this helpful,,123,121,Public,2275971
Journey,/gp/profile/amzn1.account.AFPJYOO4BGKAC3HORJEN6JLDWWBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 9, 2018",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,4.0 out of 5 stars,"Easy download,good game",Download was free,Verified Purchase,19 people found this helpful,,35,8,Public,6307357
Jordan D. Pulver,/gp/profile/amzn1.account.AH54LXMDXKZIWHHTGCZ34SCAR6ZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 6, 2017",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,5.0 out of 5 stars,Netflix,Five Stars,Verified Purchase,23 people found this helpful,,23,1,Public,82575667
Tina,/gp/profile/amzn1.account.AHTMMTBXL5VJ3VC2X7AEGC362PZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 9, 2020",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,5.0 out of 5 stars,Fun for my kids. They love it.,Fun game for the kids,Verified Purchase,11 people found this helpful,,272,121,Public,83802733
Mandi,/gp/profile/amzn1.account.AHQBBFKFZJA5AQ5HOKEI2ANJXPZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 5, 2018",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,3.0 out of 5 stars,Nice app.,Three Stars,Verified Purchase,14 people found this helpful,,92,133,Public,83326910
drew darling,/gp/profile/amzn1.account.AEARLIXPMFXS5F4NAJJDQR4BNDJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 25, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,5.0 out of 5 stars,I have autism and like a 8 year old like I the pj masks moonlight heroes App,Awesome app,Verified Purchase,4 people found this helpful,,289,104,Public,103199
A.F.,/gp/profile/amzn1.account.AGIFU6LPQSFRYVO2XK25VDU5X4QA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 29, 2016",1,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,5.0 out of 5 stars,My kids had a PJ Masks birthday party and they love anything with this theme. The game is awesome!!!,... kids had a PJ Masks birthday party and they love anything with this theme,Verified Purchase,30 people found this helpful,,32,9,Public,83068848
Michael Bierbaum,/gp/profile/amzn1.account.AHIS2CMTATWWJRADC4LEYX4PXKJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 14, 2017",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,2.0 out of 5 stars,Doesn't work on my 2nd Generation Amazon Fire 8.9,Disappointed my grandson,Verified Purchase,17 people found this helpful,,122,81,Public,483509
Candice Chamberlain,/gp/profile/amzn1.account.AHRJG72EV7MFMGFZI43RGHKM764A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 2, 2017",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,5.0 out of 5 stars,grandchildren love it,Five Stars,Verified Purchase,18 people found this helpful,,559,298,Public,802041
michael,/gp/profile/amzn1.account.AHLRMIX7KSBR6Q4OCNSKBPGWG7BQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 3, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,4.0 out of 5 stars,Good,Thanks,Verified Purchase,17 people found this helpful,,189,162,Public,83746111
De Hoyos,/gp/profile/amzn1.account.AHJHFUGKPE23K3BBOHNJSI3C7SOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 11, 2020",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,5.0 out of 5 stars,Fun app for pj mask lovers,Love it,Verified Purchase,10 people found this helpful,,158,202,Public,83839541
Amazon Customer,/gp/profile/amzn1.account.AGYIT3FHODKIFBLNJIACVAZ3QDQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 27, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,5.0 out of 5 stars,Pj mask he loves it,Ph mask!,Verified Purchase,21 people found this helpful,,29,35,Public,4495639
Cassie Chavez,/gp/profile/amzn1.account.AGWWTRMRR2HQKVV52FI6AJ4ML3AQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 2, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,5.0 out of 5 stars,Classic run game with PJ Masks characters. My four year old loves it.,Highly Recommend,Verified Purchase,13 people found this helpful,,84,77,Public,82898588
Loko,/gp/profile/amzn1.account.AGAOGH32ENZLYOB5FNJMSO4ASKSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 4, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,5.0 out of 5 stars,Good item,Exelent,Verified Purchase,4 people found this helpful,,21,92,Public,83158466
melissa birri,/gp/profile/amzn1.account.AFKP4LUZKTNWBFR3O3NT6Y2SEM5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 1, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,3.0 out of 5 stars,My daughter has fun playing this.,PJ masks game,Verified Purchase,8 people found this helpful,,63,106,Public,82941402
R.H.,/gp/profile/amzn1.account.AEW5KROTH47EKB4AJV3NN32UM2TA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 6, 2016",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,1.0 out of 5 stars,"It didn't download and when I tried to download it, my Kindle Fire HD (1st Gen.) says it's already installed - but it isn't.",It didn't download and when I tried to download it ...,Verified Purchase,11 people found this helpful,,443,204,Public,481721
T. Telenko,/gp/profile/amzn1.account.AG7IAOLFMNE42HHDYBF7MRVJ76FA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 17, 2020",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,1.0 out of 5 stars,"You cannot block the purchase of this app, whatever your kindle parental control setting , in the ""free"" PJ Masks app.My 4-year old bought three apps -- including this one costing ~$6.50 -- before I could stop it.Your only recourse is deleting all the PJ Mask apps to stop unauthorized purchases by your children.",This app is available in another PJ Mask app as an unblockable by parents for cost purchase.,Verified Purchase,21 people found this helpful,,161,13,Public,83596363
Lirpa,/gp/profile/amzn1.account.AEDKXUIYEX7W2BCLJAJGJCGIPU4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 24, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,5.0 out of 5 stars,Fun,Fun,Verified Purchase,18 people found this helpful,,184,131,Public,927766
Dots&Stripes,/gp/profile/amzn1.account.AEBK7D42FH7MIW2JXURSGTJEQG6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 7, 2018",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,3.0 out of 5 stars,"This is a side scrolling game. You can pick between any of the three main characters, but the mission is the same. It involves jumping and dodging. My 4 year old enjoys it, but doesn't play for long. I think this is due to limited features and variety in gameplay. The side scrolling gets repetitive and frustrating. Aside from coordination and following directions, there is no educational value to this. Purely entertainment--even if, again, that's not for very long. I wouldn't advise anyone to pay for this app if it ever isn't free.","Gameplay is ho-hum, but PJMask fans will still love.",Verified Purchase,8 people found this helpful,,218,32,Public,83474898
Marian McClelland,/gp/profile/amzn1.account.AGGUBPXYQ772GKHYM5UAYYEWTKTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 27, 2018",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,1.0 out of 5 stars,I did not order this,One Star,Verified Purchase,6 people found this helpful,,13,7,Public,82693258
bowtie69,/gp/profile/amzn1.account.AGE45COB5J3SXAWTVMFL4IHHAB6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 4, 2017",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,5.0 out of 5 stars,"My grandson, Halverson, loves it!",Five Stars,Verified Purchase,18 people found this helpful,,20,20,Public,21747035
Tenisha D,/gp/profile/amzn1.account.AE22MWV5WAQGUQJDIPN2DUHJ3D6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 12, 2020",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews,5.0 out of 5 stars,Perfect daughter loved it,Its perfect,Verified Purchase,11 people found this helpful,,144,30,Public,3658515
Nicole,/gp/profile/amzn1.account.AF7ASN6M2JGK64CHURYRHUIWXVUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 25, 2016",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews,1.0 out of 5 stars,Will not download on my compatible android device. The install freezes for hours on end.,One Star,Verified Purchase,13 people found this helpful,,58,24,Public,7924754
asw,/gp/profile/amzn1.account.AHKQCG4B2WZDDOIC7ZOTB6OCERIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 13, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews,3.0 out of 5 stars,Not as user friendly as I thought it would be.  My 5 year old has some trouble navigating the game.,It's okay.,Verified Purchase,8 people found this helpful,,44,89,Public,2953511
Samantha,/gp/profile/amzn1.account.AH5N7P3ZAI2BY555IPYXJTYYZUHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 5, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews,5.0 out of 5 stars,Super fun! Kids loved it!!,Fun,Verified Purchase,23 people found this helpful,,36,69,Public,83175115
kfort987,/gp/profile/amzn1.account.AGFM7AFM5MVJGFEENVNH2HVIQR4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 1, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews,5.0 out of 5 stars,Cute game.,Fun,Verified Purchase,17 people found this helpful,,172,37,Public,83113758
