title,reviewer,rating,review,votes,verified_review,date_of_review
Workhorse with a super battery life !,Aman Jain,5.0 out of 5 stars,- Apple Mac Os is smooth but updates / App installations out of home country become buggy due to apple id Error !!,3 people found this helpful,Newest,Reviewed in India on 29 May 2020
Value for money,Sachin Puri,5.0 out of 5 stars,"- Expensive
",One person found this helpful,Verified Purchase,Reviewed in India on 30 October 2019
Very expensive after sales,Nitin Abhyankar,5.0 out of 5 stars,"
  
",One person found this helpful,"
              ",Reviewed in India on 7 July 2019
Bill Without SERIAL NUMBER of Product,Sumit Kukade,1.0 out of 5 stars,"
  Amazing product..it has quality written all over it..great battery, easy to adapt if you are moving from windows..the trackpad, gestures, everything is so damm good",2 people found this helpful,Verified Purchase,Reviewed in India on 2 August 2019
Highly disappointed!,Amazon Customer,1.0 out of 5 stars,Had read many reviews about the display being bad...it is..if you are trying to look at atomic level details..its a fantastic screen with great audio output..,3 people found this helpful,"
              ",Reviewed in India on 5 October 2019
MLB (Mac's logic board) stopped working within one year and three months.,Kindle Customer,1.0 out of 5 stars,"Everything g screams quality and premium about the macbook..love it.
",One person found this helpful,Newest,Reviewed in India on 26 August 2020
Not Worth It,Jivya,1.0 out of 5 stars,"
  
",One person found this helpful,Verified Purchase,Reviewed in India on 19 July 2020
Best laptop for this price go for mac,Shraddha Srivastava,5.0 out of 5 stars,"









  
  
    ",2 people found this helpful,"
              ",Reviewed in India on 13 March 2019
and I haven't been disappointed. They both are fantastic machines,Amazon Customer,5.0 out of 5 stars,"
  I purchased this laptop from AMAZON in DEC 2019.  In AUG it stopped booting up.  I visited APPLE SERVICE CENTER with LAPTOP.  As per APPLE RECORDS,  this laptop was solve din MAY 2019.  They looked at invoice provided by AMAZON and found NO SERIAL NUMBER mentioned in invoice.  I complained by calling AMAZON and was asked to give them 6 days but till now no revert back from them.  Not sure if this is a FAKE PRODUCT or What.
",2 people found this helpful,Newest,Reviewed in India on 30 July 2019
Key board problems.,Sumit Kukade,1.0 out of 5 stars,"
  Worst laptop I've ever seen in my life. It's just an year of buying this from Amazon and now it is not turning on.",One person found this helpful,Verified Purchase,Reviewed in India on 2 August 2019
The speed and screen quality is very good.,Hari Mohan Thakur,5.0 out of 5 stars,"Always handled with care but did not know this will happen. Very disappointed with Apple and its dealer. Pathetic.
",One person found this helpful,"
              ",Reviewed in India on 9 September 2020
Apple = Worth your Money!,Anuj Reddy,5.0 out of 5 stars,"
  
",3 people found this helpful,Newest,Reviewed in India on 29 May 2020
Best Laptop for Basic everyday use,Geetika,5.0 out of 5 stars,"









  
  
    ",6 people found this helpful,Verified Purchase,Reviewed in India on 5 November 2019
Ideal for students - Budget Macbook,Rachit M.,5.0 out of 5 stars,"
  The key board has an issue. The dot key does not work and I have spent close to 2-3 hrs trying to solve the problem. The technical team is unqualified to solve any problem.",One person found this helpful,"
              ",Reviewed in India on 24 February 2019
Perfect deal,Veeeerr,5.0 out of 5 stars,Instead of replacing the piece they have made me run from pillar to post.I highly recommend not to  purchase of this product or any other electronic on amazon.,2 people found this helpful,Newest,Reviewed in India on 22 January 2019
Great buy for day long work!,RN,5.0 out of 5 stars,"Very bad service, there should be no questions asked, if a customer says he has a problem, the product should be replace.",One person found this helpful,Verified Purchase,Reviewed in India on 20 October 2017
Very smooth even after 2 years!!!!,Sumit Kukade,5.0 out of 5 stars,"
  Brilliant laptop for people who need a good laptop for professional use. Loved the look and feel of the product. Apple always makes sure to give that premium feel in every bit of it's products. Right from packaging to the product itself, everything is brilliant.",One person found this helpful,Verified Purchase,Reviewed in India on 2 August 2019
Happy with the product performance but not with the piece delivered.,SPC,3.0 out of 5 stars,"This laptop is definitely not for gaming but for all other purpose this is the go-to product.
",2 people found this helpful,"
              ",Reviewed in India on 2 June 2020
Overall ok to buy it from amazon,sherwin,4.0 out of 5 stars,"
  
",2 people found this helpful,Newest,Reviewed in India on 25 August 2020
Terrible,Saurabh Gaikwad,1.0 out of 5 stars,"









  
  
    ",One person found this helpful,Verified Purchase,Reviewed in India on 22 November 2020
13” MacBook Air...,Ankita,5.0 out of 5 stars,"
  If you want to go for a MacBook but don't have the budget for a pro or if your requirements are very basic like browsing, entertainment, and other normal tasks then just go for it. It is better than any other laptop at this price range. I am using it for the past two years but no issues whatsoever, a windows laptop would have given lots of issues by now.
",2 people found this helpful,"
              ",Reviewed in India on 20 July 2020
"Incorrect description, don't go by that",Sumit Kukade,1.0 out of 5 stars,"
  Very good as per Apple standards, only issue is very average battery life. Otherwise very convenient product with ease of operation and overall package of macbook features.
",4 people found this helpful,Verified Purchase,Reviewed in India on 2 August 2019
"osm laptop for ever guy,except gamers&&&",Rahul,5.0 out of 5 stars,"
  
",One person found this helpful,"
              ",Reviewed in India on 20 October 2018
macbook air is givivg problebs. shuts down on its own and not starting agian for some time.,rahul,1.0 out of 5 stars,"









  
  
    ",2 people found this helpful,Newest,Reviewed in India on 6 July 2019
I got defective product.,Laovaan ,1.0 out of 5 stars,"
  Given 1 only for the fact that in description it's mentioned that it's having Touch Id which is not there at all in this, so please correct the description and verify rest of facts also
",3 people found this helpful,Verified Purchase,Reviewed in India on 23 October 2019
With in one year I have seen not able to start system 2 times.,Sandeep Deshmukh,1.0 out of 5 stars,"
  
",4 people found this helpful,"
              ",Reviewed in India on 21 September 2020
Worst,Nazar,1.0 out of 5 stars,"









  
  
    ",2 people found this helpful,Newest,Reviewed in India on 5 March 2019
Seller selling defective iMac,Sumit Kukade,1.0 out of 5 stars,"
  The elegant work of apple can be seen in this product. The design, the user friendliness, the compactness can be easily seen in this laptop. Coming to the performance, the speed of this is remarkable, and you can get to know the power of Mac os when you have another apple product. You can get one of the best movie experiences on this . Overall I would it a 4.5/5.
",3 people found this helpful,Verified Purchase,Reviewed in India on 2 August 2019
Hearing issue,Amazon Customer,1.0 out of 5 stars,"
  
",3 people found this helpful,"
              ",Reviewed in India on 14 October 2018
"Good laptop , but a learning curve for new users",Rohit Upadhyay,5.0 out of 5 stars,"









  
  
    ",2 people found this helpful,Newest,Reviewed in India on 8 September 2020
"Best laptop under rs60,000...",Sumit Kukade,5.0 out of 5 stars,"
  Pros",One person found this helpful,Verified Purchase,Reviewed in India on 2 August 2019
"Received faulty item, light bwiring smell was coming from  Laptop",Amazon Customer,1.0 out of 5 stars,~Very compact & light weight,One person found this helpful,"
              ",Reviewed in India on 6 August 2020
"Apple products are Worst , don't go for it",Bhushan Bisane,1.0 out of 5 stars,~Screen quality is amazing,One person found this helpful,Newest,Reviewed in India on 5 October 2019
Great product in good price.,Amazon Customer,5.0 out of 5 stars,~Battery life is amazing,2 people found this helpful,Verified Purchase,Reviewed in India on 3 October 2020
Fully satisfied,vimal,5.0 out of 5 stars,"~Works better in Apple environment, If you have phone & watch",One person found this helpful,"
              ",Reviewed in India on 11 October 2019
Love everything about my macbook,Ayan Banerjee,5.0 out of 5 stars,~Can pick up calls from this laptop if you have iPhone synced with Mac,4 people found this helpful,Newest,Reviewed in India on 7 March 2020
