ids,ranking
amzn1.account.AEZIOQ7EFLH3G5CFONVIFY2FJGTA/,422089
amzn1.account.AFPU6UNCLVVTOGKE5FJPYLGTYMUQ/,1571243
amzn1.account.AE3RPWIPGJ2B25EN2TDTMJ7ONCMA/,1716619
amzn1.account.AFEBDZSZ6HWBYK3LQMOXLGM5LNVA/,2103034
amzn1.account.AGZEEFPO64IEDXSIWL4A7SROBMEQ/,590766
amzn1.account.AGKVYLF6FPSMORUHXJ73INFS3RHA/,121912
amzn1.account.AEAGFA7HKJWDTOPH3UI4PLY74Y7A/,73693
amzn1.account.AFHCUUL2J2XKIM6E764UJ6IE6UVQ/,1939890
amzn1.account.AHU4NEZHSXCQVQ44Y3RU6XWRAGNQ/,1522859
amzn1.account.AFYOIR655I6N4PARJHGCQYNEOHNQ/,4044920
amzn1.account.AGI42LQ747TNX7EFVQOMXSTI2A4Q/,2019856
amzn1.account.AGATWS5DF2RB5PVNSUMZ35MWIQIA/,98845
amzn1.account.AFYABCSK2QAN4QHFONYWQTEQ2UVQ/,5199970
amzn1.account.AFTORQOWGKZ3DGBK6XIJIG46OF6Q/,250711
amzn1.account.AFQ332P3FABP7B262RWNYYY2DGFA/,685750
amzn1.account.AF2FZVNCE3BQ4X6KIBXBRTBEKQVQ/,1598029
amzn1.account.AFYGVNJMOZI67UZEGKDQRYPI6XUA/,662407
amzn1.account.AF3XYRF33JJOVXQEZROILXX3F4MA/,599382
amzn1.account.AHAWSKLXJXWJTABTVJBX3RMTSYRA/,1667331
amzn1.account.AGB6GL26ELJBNHJ4ZS6IA4YNMFDA/,235847
amzn1.account.AEHCUEO7ZBWXUBMDZLTNRP372PWQ/,102378
amzn1.account.AFNHZEBIZQ2KZUBW3RGR3FGKYGTQ/,177120
amzn1.account.AGBJDJFJD4DB7RHNFZWQZW4QDEIQ/,1486505
amzn1.account.AEPPENOHORRUPMW4VTNPHVGU2D5A/,96830
amzn1.account.AFGDC6IYEWWUOILFSW76ZKO4EZDQ/,3822362
amzn1.account.AEQJNTUU2VZA7I6VNGCLUSR3NMUA/,12533787
amzn1.account.AFUWWYGJZ2SQR3NHFVY6J6PT2FUQ/,2208087
amzn1.account.AFZHKYMV3UYTWGAVRDHQ2F75WTOA/,461413
amzn1.account.AFNI5LSTOSPOPMK66DQCC2UL4VPQ/,84418100
amzn1.account.AFOY2HFV6F5DPXGEDQM56BPE74UA/,6147431
amzn1.account.AEUGHMCHHOLJX34JPCJJCLH3GKAA/,3362647
amzn1.account.AFUT53N6XDYGAMCL7HCOVWDFMKZA/,80843
amzn1.account.AHNWYJFGA2ZTJPP5XAZ22ISJMDGA/,2212367
amzn1.account.AHSLZ5RR4EOD74COMXV4MUMWM7YA/,301927
amzn1.account.AGKQD5MM7BPTP7G2I5B4X2UYN7NA/,1375491
amzn1.account.AENJUZ343FT3VAXJATNXXDN4R2UQ/,413607
amzn1.account.AHFKTGNOKC4UBFGOXZ77BVOEXRAA/,2379584
amzn1.account.AG44E2I3IN7FQ7I7FK5I3O6XUZKQ/,5902291
amzn1.account.AGBDKY3MVASAE4CN4CIABKW65T7A/,47915
amzn1.account.AE4GIJ45KSGFKRNK3CTAX3X5WV7Q/,3329482
amzn1.account.AFFD6CFKIA67CE4KBFCYJFICYZ7A/,4961206
,
amzn1.account.AG5AZBDTPMD26WKEKK6OVULAIN3A/,96997
amzn1.account.AGKEKFR6CCXVXUU3UQ5DX4WHXNBQ/,84316018
amzn1.account.AEA3MIFOFIBBREXMFYASTVLXIRSA/,24108803
