ids,ranking
amzn1.account.AF7WQ4VFJNQ74FMPQIDIBDQXJ6TA/,6018036
amzn1.account.AFRS2LIE7RCW74ETBEAGUC5TWOHQ/,317455
amzn1.account.AFRXP7HPDY7XQ2ZHRNXJZL6KM34Q/,153541
amzn1.account.AEAA44GNHAVRROFIHIYKMYI4O6PQ/,4471680
amzn1.account.AGCGS7XH5DP3TAPOEUAUXXX46SYQ/,160353
amzn1.account.AG3JCLTALA27RSQXCHO2RQRDGSOA/,745055
amzn1.account.AFKDGWPQUMOYJE6DQT23UWYZ2OCA/,4431318
amzn1.account.AFAB7PZTCZWGGH7UNMEXEEJBQJDA/,994693
amzn1.account.AG7ZYDFPUVCQFB7Y6PMKDQKWIZYQ/,5086736
amzn1.account.AHF6ZC6L6IWNP7CJZNUVQS2VN5VA/,3161903
amzn1.account.AGDMYQDFLTBZOJAB764ZANXEFJAQ/,455735
amzn1.account.AFAQLVARUSZRTI6UAI673NSMONBQ/,2855347
amzn1.account.AE54A5VOIM4LKID7NKZDMBY3WUPA/,2227196
amzn1.account.AGMYMOOXPCRSWYCPGBXOLEP6XMUA/,298196
amzn1.account.AESP7DA3LG55DEMDBNAIAS5I4SUQ/,42638
amzn1.account.AEIJU35UQRYR3VPRQ2ORD46N4ORQ/,8925418
amzn1.account.AHYRZK6QQ4RT767RFTR3I3CGTZCQ/,3052120
amzn1.account.AGQKRIRKBIVURMPGJU54HLKFQV2A/,1898412
amzn1.account.AE3XIMG3XCBRXUHESNH3ETHXGBVQ/,720094
amzn1.account.AHFVZC2URP3ADL4MAPHR6IHRO7QQ/,15361
amzn1.account.AEI4KFVO37IMAE65JIORUQ6VMGEA/,5702107
amzn1.account.AGZZQOCMI7GN2XZ4MC73MOHPBCOQ/,614804
amzn1.account.AGQ3DAXTLOGZZ4WMOVELIVRDG3NA/,1630606
amzn1.account.AFDCFMBYUFSEP42XCJHEEVWRCZ7Q/,3455
amzn1.account.AHGDVTFSAAIENYAIAZWJG427I3EA/,1875
amzn1.account.AELNCDNNMTBSZXXTAZUSPN2JO6PQ/,566044
amzn1.account.AFZMYZX5C4R2BGQLXNSPD7JQS57Q/,180185
amzn1.account.AFPZ2RQU34MID7YH6VLSUCP2BXZA/,83646368
amzn1.account.AFXBJUQG2IT3RCKXDVYGPXIUGQ6Q/,1481636
amzn1.account.AHNYMVB6PFAZXGBDSCYGZ5M6F55Q/,4518076
amzn1.account.AEUBMH2VNXTAZR7P2Z5PSOXC27TQ/,228632
amzn1.account.AG4OD3INWW63DOHSQ2KWA5PCXHKA/,424297
amzn1.account.AFF74NLGNLY6OBTRW6M55SEO273A/,3764443
amzn1.account.AFVNHHXQAGGQFA74RUWEKESWXKZQ/,2631388
amzn1.account.AE6BZYVCM43NPKCWUYDKSK5EU4OQ/,868699
amzn1.account.AFKKHA33EOG7EZRU2WQ5NMD64TBQ/,6430802
amzn1.account.AHFQDXMVVIFFHIH3D5GTWJYO6LVQ/,103208
amzn1.account.AHFUEJE7PCFVADQNLWKOVUIEKKCA/,764617
amzn1.account.AFIDESOAP6SPOHFYMSMBWGCN6MRQ/,675806
amzn1.account.AFFSB4BOMLEUUSPPGEZ2OFVI3N2Q/,29252
amzn1.account.AEQPX57KOSZREQTZX5NBC4MDRKJA/,2924993
amzn1.account.AGVE3CSCH32GKMDNPH37JNQXVXRQ/,197139
amzn1.account.AFEQ7ASMRDNGUAIFZHDCMMGIY46Q/,56178
amzn1.account.AFX2EECCKYLACIQFFAABU6IQSAIA/,9357926
amzn1.account.AEKPPLHZAFR4GGHQVLRWJWRTKOGA/,851423
amzn1.account.AGGZMQULN3OL442VBIZOPZ7VAIWQ/,34988
amzn1.account.AGLDFSWHOBHSB3FETXARWAVQQ5DA/,944521
amzn1.account.AGHY5FGLI6ZIYR3P4Q4NIDSQ72EQ/,5188
amzn1.account.AG7DMBHWTDUHFV2WEHUWWIGWBYLA/,7207
amzn1.account.AFCMC3RIRJADT7ZIUSH4AIZ63M3Q/,513672
amzn1.account.AHUZIBK7MJN5AM2NV6W3EUCH4LDQ/,6922
amzn1.account.AGX5U6ANQJDPEO4EI75YV7ZCHRBQ/,210204
amzn1.account.AE4Q7ELLOT2JFCJZSRQBSG72QG3Q/,2124020
amzn1.account.AHM3W2TOBMHGVEKSYQ7JEYZ74GEQ/,356505
amzn1.account.AGUDMPUC5ANBXLMMRLC2HNR3EUTQ/,355937
amzn1.account.AHHWRJTRD4XDNOXKBIEAHHSNL43Q/,197087
amzn1.account.AHEFVXVEQI24GAHEYRMNVKN4OXOA/,438262
amzn1.account.AFUWLBMUJR5S2AZPGRYWAZ4ERC3Q/,84385831
amzn1.account.AEJYYP6BFLGX55CSIHOS2BG2DPLQ/,8092292
amzn1.account.AG3WSI7YQU6UIJR5ZLCF47H6JJJQ/,84495421
amzn1.account.AFZGG6OLUSLHCSOOXVFPG6TVWM7A/,1585074
amzn1.account.AEOPEI5NO5XCIV6MIH5TWN4MYD6Q/,5835514
amzn1.account.AGLBN3MINRB7262SANHMPBSRLVXA/,349430
amzn1.account.AFWDGZQ3OEHKQZUDIOPOO6RFPT3A/,90246
amzn1.account.AHMFDPNBEBFOVCD66NX2K5R5BLGA/,143651
amzn1.account.AEIJL5YOUUTQQLPCFYENDNUDCCUQ/,2221809
amzn1.account.AHBDZW2H5GSEB53CHWGWRISAB5LA/,5346135
amzn1.account.AGLHTDAUI5P5EP7Z6MQWDPHFBFDA/,384551
